date,Close,Volume,Daily_Return
2025-04-16,23437.19921875,348400,0.4657316201027051
2025-04-17,23851.650390625,505300,1.7683476937954135
2025-04-21,24125.55078125,406100,1.1483498464016417
2025-04-22,24167.25,440900,0.17284255654137493
2025-04-23,24328.94921875,415000,0.6690840652122221
2025-04-24,24246.69921875,358800,-0.33807460922566923
2025-04-25,24039.349609375,387700,-0.855166336268387
2025-04-28,24328.5,320500,1.2028211882747275
2025-04-29,24335.94921875,357600,0.03061930965739812
2025-04-30,24334.19921875,424500,-0.007191007773188485
2025-05-02,24346.69921875,421100,0.05136803511647248
2025-05-05,24461.150390625,291500,0.4700890697612925
2025-05-06,24379.599609375,302400,-0.3333889859949313
2025-05-07,24414.400390625,330100,0.14274549954715887
2025-05-08,24273.80078125,411400,-0.5758880297096702
2025-05-09,24008.0,335600,-1.09501096942064
2025-05-12,24924.69921875,368700,3.8183073090219954
2025-05-13,24578.349609375,423000,-1.389583907654357
2025-05-14,24666.900390625,345500,0.36027960647213586
2025-05-15,25062.099609375,500800,1.6021438141461841
2025-05-16,25019.80078125,432700,-0.16877607536591732
2025-05-19,24945.44921875,255300,-0.29717088137536374
2025-05-20,24683.900390625,414800,-1.0484831354666824
2025-05-21,24813.44921875,332700,0.524831270888626
2025-05-22,24609.69921875,403300,-0.8211272774042211
2025-05-23,24853.150390625,270500,0.9892488718005854
2025-05-26,25001.150390625,302800,0.5954979456279652
2025-05-27,24826.19921875,525700,-0.6997724870316469
2025-05-28,24752.44921875,684400,-0.29706520659956714
2025-05-29,24833.599609375,345400,0.3278479228775888
2025-05-30,24750.69921875,853900,-0.333823496911434
2025-06-02,24716.599609375,311100,-0.13777230725331435
2025-06-03,24542.5,349300,-0.7043833380258491
2025-06-04,24620.19921875,280900,0.3165904807986175
2025-06-05,24750.900390625,388400,0.5308696762106768
2025-06-06,25003.05078125,335600,1.018752395450262
2025-06-09,25103.19921875,279200,0.4005448710087123
2025-06-10,25104.25,307300,0.00418584595869298
2025-06-11,25141.400390625,301200,0.14798446727146697
2025-06-12,24888.19921875,328300,-1.0071084662786611
2025-06-13,24718.599609375,318700,-0.6814458847919758
2025-06-16,24946.5,305800,0.921979376770854
2025-06-17,24853.400390625,242400,-0.37319707924959866
2025-06-18,24812.05078125,237600,-0.16637405234334324
2025-06-19,24793.25,274600,-0.07577278241026608
2025-06-20,25112.400390625,574700,1.287247095983779
2025-06-23,24971.900390625,248500,-0.559484548726974
2025-06-24,25044.349609375,450200,0.29012296868362597
2025-06-25,25244.75,260600,0.8001820520425307
2025-06-26,25549.0,428900,1.2052010814129765
2025-06-27,25637.80078125,564000,0.3475704773181043
2025-06-30,25517.05078125,271000,-0.4709842354665206
2025-07-01,25541.80078125,260700,0.09699396772837598
2025-07-02,25453.400390625,309800,-0.34610085397696055
2025-07-03,25405.30078125,293400,-0.188971251922454
2025-07-04,25461.0,193500,0.21924250859925998
2025-07-07,25461.30078125,196100,0.0011813410706551508
2025-07-08,25522.5,210400,0.24036171315751087
2025-07-09,25476.099609375,239100,-0.181801902732881
2025-07-10,25355.25,219600,-0.4743646446198069
2025-07-11,25149.849609375,250000,-0.8100901810276007
2025-07-14,25082.30078125,259500,-0.2685854157148504
2025-07-15,25195.80078125,241300,0.4525103218794291
2025-07-16,25212.05078125,228800,0.06449487413033861
2025-07-17,25111.44921875,243400,-0.3990217351728331
2025-07-18,24968.400390625,317000,-0.5696558047242783
2025-07-21,25090.69921875,305200,0.48981443028652816
2025-07-22,25060.900390625,483700,-0.11876443882732346
2025-07-23,25219.900390625,271500,0.6344544590244583
2025-07-24,25062.099609375,338700,-0.6256994627491075
2025-07-25,24837.0,278100,-0.8981674037030651
2025-07-28,24680.900390625,262100,-0.6284962329387578
2025-07-29,24821.099609375,284700,0.5680474234370125
2025-07-30,24855.05078125,243900,0.1367835124523431
2025-07-31,24768.349609375,346300,-0.34882717656889994
2025-08-01,24565.349609375,263400,-0.8195943742782208
2025-08-04,24722.75,259300,0.6407415043054421
2025-08-05,24649.55078125,251800,-0.29608040671041946
2025-08-06,24574.19921875,225100,-0.3056914228121266
2025-08-07,24596.150390625,616700,0.08932609229541644
2025-08-08,24363.30078125,312600,-0.9466912735407229
2025-08-11,24585.05078125,241100,0.9101804471857822
2025-08-12,24487.400390625,237000,-0.39719417907191357
2025-08-13,24619.349609375,236000,0.5388453516712133
2025-08-14,24631.30078125,270200,0.048543816407109475
2025-08-18,24876.94921875,363100,0.9973019276634965
2025-08-19,24980.650390625,252300,0.41685646806257637
2025-08-20,25050.55078125,287100,0.27981813736617234
2025-08-21,25083.75,226500,0.13252889742787488
2025-08-22,24870.099609375,210200,-0.8517482060098724
2025-08-25,24967.75,213000,0.39264173509054867
2025-08-26,24712.05078125,750500,-1.0241179872034878
2025-08-28,24500.900390625,326600,-0.8544430103923584
2025-08-29,24426.849609375,325500,-0.30223697933294824
2025-09-01,24625.05078125,229300,0.8114070174605414
2025-09-02,24579.599609375,271600,-0.18457290617897026
2025-09-03,24715.05078125,340300,0.5510715147017065
2025-09-04,24734.30078125,314100,0.07788776228048189
2025-09-05,24741.0,210100,0.027084730671167456
2025-09-08,24773.150390625,213200,0.12994782193525012
2025-09-09,24868.599609375,226900,0.3852930178235292
2025-09-10,24973.099609375,244100,0.42020862308871365
2025-09-11,25005.5,224600,0.12974116602184615
2025-09-12,25114.0,225700,0.4339045410009845
2025-09-15,25069.19921875,185400,-0.17838966811339896
2025-09-16,25239.099609375,240100,0.6777256391098607
2025-09-17,25330.25,268900,0.3611475529465391
2025-09-18,25423.599609375,272200,0.36853015416349333
2025-09-19,25327.05078125,380400,-0.37976065391384095
2025-09-22,25202.349609375,254500,-0.49236357186648316
2025-09-23,25169.5,299200,-0.13034343973540308
2025-09-24,25056.900390625,244400,-0.447365300760838
2025-09-25,24890.849609375,342500,-0.6626948212322681
2025-09-26,24654.69921875,291500,-0.9487437927231501
2025-09-29,24634.900390625,394400,-0.08030448049409777
2025-09-30,24611.099609375,303000,-0.09661407544825362
2025-10-01,24836.30078125,308900,0.9150390492475902
2025-10-03,24894.25,365900,0.23332467769816567
2025-10-06,25077.650390625,268800,0.7367178791287232
2025-10-07,25108.30078125,288000,0.12222193924698033
2025-10-08,25046.150390625,227400,-0.24752925801897474
2025-10-09,25181.80078125,286300,0.5416017571936882
2025-10-10,25285.349609375,232900,0.41120501676790155
2025-10-13,25227.349609375,234300,-0.22938183927065925
2025-10-14,25145.5,292100,-0.3244479132464395
